user_id,install_date,lang,country,hw_ver,os_ver
0,2019-03-01,en,US,"iPhone4,1",9.1
1,2019-03-01,en,IN,"iPod5,1",8.1.2
2,2019-03-06,en,US,"iPod7,1",8.4.1
3,2019-03-03,nb,NO,"iPhone8,1",9.2.1
4,2019-03-03,en,GB,"iPhone5,4",9.2.1
5,2019-03-07,en,US,"iPhone5,3",9.2.1
6,2019-03-06,en,US,"iPhone3,1",7.1.2
7,2019-03-06,en,US,"iPhone6,1",9.2
8,2019-03-03,en,US,"iPhone4,1",8.1.3
9,2019-03-04,tr,TR,"iPhone6,2",9.2.1
10,2019-03-05,da,DK,"iPhone7,2",9.2.1
11,2019-03-04,pt,PT,"iPad3,4",9.2.1
12,2019-03-07,en,US,"iPhone7,2",9.2.1
13,2019-03-05,en,US,"iPhone7,1",8.4
14,2019-03-06,en,US,"iPad5,4",9.2.1
15,2019-03-01,en,LT,"iPhone7,2",9.2
16,2019-03-04,en,PH,"iPhone4,1",9.2.1
17,2019-03-06,en,US,"iPhone6,1",9.2.1
18,2019-03-02,es,MX,"iPad2,2",8.3
19,2019-03-07,en,US,"iPhone3,1",7.1.2
20,2019-03-06,en,US,"iPhone7,2",9.2.1
21,2019-03-07,en,GB,"iPhone7,1",9.2.1
22,2019-03-03,en,US,"iPhone5,3",9.2.1
23,2019-03-01,en,US,"iPad2,5",9.2
24,2019-03-03,vi,VN,"iPad5,1",9.2
25,2019-03-04,en,US,"iPhone8,1",9.2.1
26,2019-03-04,en,US,"iPad5,3",9.2.1
27,2019-03-03,en,GB,"iPhone6,2",9.2.1
28,2019-03-05,en,US,"iPhone4,1",9.2.1
29,2019-03-05,tr,TR,"iPad2,5",9.2.1
30,2019-03-03,en,US,"iPhone6,1",9.1
31,2019-03-01,id,ID,"iPhone6,2",7.0.6
32,2019-03-03,en,MX,"iPhone7,2",9.2.1
33,2019-03-06,en,US,"iPhone7,2",9.2
34,2019-03-03,ja,JP,"iPhone7,2",9.2.1
35,2019-03-07,en,US,"iPhone6,1",9.2
36,2019-03-02,en,US,"iPhone8,2",9.2.1
37,2019-03-06,en,GB,"iPhone5,4",9.2
38,2019-03-07,pt,BR,"iPad4,4",8.1.2
39,2019-03-07,en,US,"iPhone7,2",9.2.1
40,2019-03-06,en,US,"iPhone7,1",9.2.1
41,2019-03-06,en,US,"iPad2,5",7.1
42,2019-03-06,en,PH,"iPad4,4",9.2.1
43,2019-03-06,da,DK,"iPhone4,1",9.2.1
44,2019-03-07,en,US,"iPod5,1",8.1.3
45,2019-03-07,en,GB,"iPhone5,4",9.2.1
46,2019-03-01,ar,LY,"iPhone6,1",9.2.1
47,2019-03-07,en,US,"iPhone7,2",9.0.2
48,2019-03-03,en,US,"iPhone6,1",9.2.1
49,2019-03-06,en,US,"iPhone5,1",8.4.1
50,2019-03-05,es,PE,"iPhone6,1",9.2.1
51,2019-03-02,en,US,"iPhone7,2",9.2.1
52,2019-03-02,en,US,"iPod5,1",9.2.1
53,2019-03-01,de,CH,"iPhone6,2",9.2.1
54,2019-03-04,en,US,"iPad2,4",8.1
55,2019-03-04,en,GB,"iPhone8,1",9.2.1
56,2019-03-06,en,US,"iPad2,5",9.2.1
57,2019-03-05,en,US,"iPod7,1",9.2.1
58,2019-03-01,fr,CA,"iPhone5,3",9.2.1
59,2019-03-01,en,US,"iPhone8,1",9.2.1
60,2019-03-04,en,US,"iPhone5,1",9.0.2
61,2019-03-01,en,US,"iPad4,4",8.1.1
62,2019-03-06,en,US,"iPhone8,1",9.2.1
63,2019-03-03,nl,NL,"iPhone6,2",9.2.1
64,2019-03-06,fr,BE,"iPad5,3",9.2.1
65,2019-03-06,th,TH,"iPad4,1",9.2
66,2019-03-06,es,ES,"iPad3,1",9.2.1
67,2019-03-03,it,IT,"iPhone6,2",9.2
68,2019-03-01,nl,NL,"iPad2,5",9.2.1
69,2019-03-04,cs,CZ,"iPad4,1",9.2
70,2019-03-05,en,IN,"iPhone6,1",9.2.1
71,2019-03-03,en,US,"iPad3,1",9.2.1
72,2019-03-05,ru,RU,"iPhone6,2",9.2.1
73,2019-03-05,en,US,"iPhone4,1",8.1
74,2019-03-01,fa,US,"iPad4,2",9.2
75,2019-03-01,en,US,"iPhone8,2",9.2.1
76,2019-03-01,en,GB,"iPhone3,1",7.1.2
77,2019-03-03,ro,RO,"iPhone6,1",9.2.1
78,2019-03-01,nb,NO,"iPhone6,2",9.2.1
79,2019-03-03,en,US,"iPad4,1",9.2.1
80,2019-03-06,en,US,"iPhone6,1",9.1
81,2019-03-04,en,US,"iPad2,5",8.3
